course_id,chapter_no,chapter_id,chapter_name,chapter_item_id,chapter_item_no,chapter_item_name,chapter_item_type,video_length_in_seconds
54d5a117065a7e0e00725ac0,1,5c91835bed65c200740eefda,本課程不分章節,5a1e172da2c4b000589dc7f2,1,拉曲線,LECTURE,578
54d5a117065a7e0e00725ac0,1,5c91835bed65c200740eefda,本課程不分章節,5a1e172da2c4b000589dc7f3,2,分割工具,LECTURE,479
54d5a117065a7e0e00725ac0,1,5c91835bed65c200740eefda,本課程不分章節,5a1e172da2c4b000589dc7f4,3,油漆桶上色工具,LECTURE,726
54d5a117065a7e0e00725ac0,1,5c91835bed65c200740eefda,本課程不分章節,5a1e172da2c4b000589dc7f5,4,幾何圖形分割 X 色塊組合,ASSIGNMENT,56
54d5d9952246e60a009ec571,1,5c91835bed65c200740eefdb,本課程不分章節,5a1e1704a2c4b000589dae2a,1,作品範例,LECTURE,165
54d5d9952246e60a009ec571,1,5c91835bed65c200740eefdb,本課程不分章節,5a1e1704a2c4b000589dae2b,2,素材來源與製作,LECTURE,172
54d5d9952246e60a009ec571,1,5c91835bed65c200740eefdb,本課程不分章節,5a1e1704a2c4b000589dae2c,3,去背方式,LECTURE,999
54d5d9952246e60a009ec571,1,5c91835bed65c200740eefdb,本課程不分章節,5a1e1704a2c4b000589dae2d,4,畫面配置 - 背景與主題,LECTURE,846
54d5d9952246e60a009ec571,1,5c91835bed65c200740eefdb,本課程不分章節,5a1e1704a2c4b000589dae2e,5,畫面配置 - 細節,LECTURE,507
54d5d9952246e60a009ec571,1,5c91835bed65c200740eefdb,本課程不分章節,5a1e1704a2c4b000589dae2f,6,拼貼應用,LECTURE,720
54d5d9952246e60a009ec571,1,5c91835bed65c200740eefdb,本課程不分章節,5a1e1704a2c4b000589dae30,7,一起回到童年,ASSIGNMENT,69
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae0f,1,課外延伸閱讀(必看),LECTURE,
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae10,2,Photoshop基本功能說明-1,LECTURE,1121
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae11,3,Photoshop基本功能說明-2,LECTURE,735
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae12,4,手繪示範,LECTURE,400
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae13,5,插畫繪製-1,LECTURE,1121
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae14,6,插畫繪製-2,LECTURE,446
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae15,7,檔案完稿製作補充說明,LECTURE,
54d7148a2246e60a009ec588,1,5c91835bed65c200740eefdc,本課程不分章節,5a1e1703a2c4b000589dae16,8,作業介紹,ASSIGNMENT,96
54f1268f4ec3c809002e4a29,1,5c91835bed65c200740eefe0,本課程不分章節,5a1e172da2c4b000589dc7f6,1,前言,LECTURE,148
54f1268f4ec3c809002e4a29,1,5c91835bed65c200740eefe0,本課程不分章節,5a1e172da2c4b000589dc7f7,2,藝術的起源,LECTURE,341
